State,Designation,Number,Timestamp,Temperature,Humidity
ON,cutting,1,2024-12-28 14:21:41,25.00,55.00
OP,drilling,2,2024-12-28 14:20:41,26.50,60.00
OFF,stopped,0,2024-12-28 14:19:41,30.00,65.00
OP,cutting,5,2024-12-28 18:20:53,0.00,0.00
OP,stuuf,4,2024-12-28 18:32:26,0.00,0.00
OP,stopped,3,2024-12-28 18:33:25,0.00,0.00
OP,state_change,0,2024-12-29 16:31:28,0.00,0.00
OP,cut,5,2024-12-29 16:31:28,0.00,0.00
OFF,state_change,state_change,0,2024-12-29 16:31:43,0.00,0.00
ON,state_change,0,2024-12-29 16:31:53,0.00,0.00
OP,state_change,0,2024-12-31 11:00:03,0.00,0.00
OP,cut,5,2024-12-31 11:00:03,0.00,0.00
OFF,state_change,state_change,0,2024-12-31 11:09:18,0.00,0.00
OFF,state_change,state_change,0,2024-12-31 11:12:01,0.00,0.00
ON,state_change,0,2024-12-31 17:48:45,0.00,0.00
OP,state_change,0,2024-12-31 17:49:51,0.00,0.00
OP,aa,3,2024-12-31 17:49:51,0.00,0.00
1,state_change,0,2025-01-02 18:03:54,0.00,0.00
OP,state_change,0,2025-01-02 18:04:54,0.00,0.00
OP,1,1,2025-01-02 18:04:54,0.00,0.00
1,state_change,0,2025-01-02 18:38:51,0.00,0.00
OP,state_change,0,2025-01-02 18:40:46,0.00,0.00
OP,aa,21,2025-01-02 18:40:46,0.00,0.00
q,state_change,0,2025-01-04 21:18:34,0.00,0.00
12,state_change,0,2025-01-04 22:17:05,0.00,0.00
ON,state_change,0,2025-01-04 22:20:12,0.00,0.00
OP,state_change,0,2025-01-04 22:20:42,0.00,0.00
OP,1,2,2025-01-04 22:20:42,0.00,0.00
OFFmstate_change,state_change,0,2025-01-04 22:26:24,0.00,0.00
OP,state_change,0,2025-01-05 11:43:52,0,0,0,0,0
OP,state_change,0,2025-01-05 12:02:13,0,0,0,0,0
OP,state_change,0,2025-01-05 14:21:55,0,0,0,0,0
ON,state_change,0,2025-01-05 16:13:32,0,0,0,0,0
ON,state_change,0,2025-01-05 19:13:28,0,0,0,0,0
ON,state_change,0,2025-01-05 19:18:00,0,0,0,0,0
ON,state_change,0,2025-01-05 19:18:59,0,0,0,0,0
OP,state_change,0,2025-01-05 19:19:31,0,0,0,0,0
OP,state_change,0,2025-01-05 19:22:04,0,0,0,0,0
ON,state_change,0,2025-01-05 19:23:25,0,0,0,0,0
ON,state_change,0,2025-01-05 19:26:41,0,0,0,0,0
ON,state_change,0,2025-01-05 20:08:22,0,0,0,0,0
OP,state_change,0,2025-01-05 20:16:38,0,0,0,0,0
ON,state_change,0,2025-01-05 20:33:56,0,0,0,0,0
OFF,state_change,0,2025-01-05 20:33:57,0,0,0,0,0
OP,state_change,0,2025-01-05 20:33:57,0,0,0,0,0
ON,state_change,0,2025-01-05 20:33:58,0,0,0,0,0
OFF,state_change,0,2025-01-05 20:33:59,0,0,0,0,0
OP,state_change,0,2025-01-05 20:33:59,0,0,0,0,0
OP,state_change,0,2025-01-05 20:34:00,0,0,0,0,0
ON,state_change,0,2025-01-05 20:34:00,0,0,0,0,0
OFF,state_change,0,2025-01-05 20:34:01,0,0,0,0,0
OP,state_change,0,2025-01-05 20:34:01,0,0,0,0,0
ON,state_change,0,2025-01-05 20:34:02,0,0,0,0,0
OFF,state_change,0,2025-01-05 20:34:02,0,0,0,0,0
OFF,state_change,0,2025-01-05 20:34:03,0,0,0,0,0
OP,state_change,0,2025-01-05 20:34:03,0,0,0,0,0
ON,state_change,0,2025-01-05 20:34:04,0,0,0,0,0
OFF,state_change,0,2025-01-05 20:34:05,0,0,0,0,0
OP,state_change,0,2025-01-05 20:34:05,0,0,0,0,0
ON,state_change,0,2025-01-05 20:34:06,0,0,0,0,0
ON,state_change,0,2025-01-05 21:04:38,0,0,0,0,0
OFF,state_change,0,2025-01-05 21:04:38,0,0,0,0,0
